"date","group","session","rel.time","subject","behav1","behav2","type","change","time_hh_min"
20190815,"BA",1,3980.159,"OMN_V_BA","R","op","primary",FALSE,1466.33598333333
20190815,"BA",1,3987.359,"TOP_V_BA","R","op","primary",FALSE,1466.45598333333
20190815,"BA",1,4005.879,"OVM_V_BA","R","op","primary",FALSE,1466.76465
20190815,"BA",1,4009.376,"X118","R","op","primary",FALSE,1466.82293333333
20190815,"BA",1,4037.337,"TOP_V_BA","R","op","primary",FALSE,1467.28895
20190816,"BA",1,69.992,"TMG_V_BA","B","op","primary",FALSE,1401.16653333333
20190816,"BA",1,129.888,"TMG_V_BA","R","op","primary",FALSE,1402.1648
20190816,"BA",1,179.58,"TMP_V_BA","R","op","primary",FALSE,1402.993
20190816,"BA",1,188.489,"TMG_V_BA","R","op","primary",FALSE,1403.14148333333
20190816,"BA",1,233.309,"TMG_V_BA","B","op","primary",FALSE,1403.88848333333
20190816,"BA",1,294.129,"TMG_V_BA","R","op","primary",FALSE,1404.90215
20190816,"BA",1,342.347,"TMG_V_BA","R","op","primary",FALSE,1405.70578333333
20190816,"BA",1,346.668,"PVT_H_CG","R","op","primary",FALSE,1405.7778
20190816,"BA",1,380.708,"TOP_V_BA","R","op","primary",FALSE,1406.34513333333
20190816,"BA",1,386.328,"BVB_V_BA","R","op","primary",FALSE,1406.4388
20190816,"BA",1,390.948,"PVT_H_CG","R","dr","primary",FALSE,1406.5158
20190816,"BA",1,395.348,"PVT_H_CG","R","op","primary",FALSE,1406.58913333333
20190816,"BA",1,411.827,"BVB_V_BA","R","op","primary",FALSE,1406.86378333333
20190816,"BA",1,428.218,"TMG_V_BA","R","op","primary",FALSE,1407.13696666667
20190816,"BA",1,429.364,"TOP_V_BA","R","op","primary",FALSE,1407.15606666667
20190816,"BA",1,455.476,"NGO_V_MA","R","op","primary",FALSE,1407.59126666667
20190816,"BA",1,457.187,"BPB_V_BA","R","op","primary",FALSE,1407.61978333333
20190816,"BA",1,457.187,"BTV_V_BA","R","op","primary",FALSE,1407.61978333333
20190816,"BA",1,469.814,"TMG_V_BA","B","op","primary",FALSE,1407.83023333333
20190816,"BA",1,501.431,"TMP_V_BA","R","op","primary",FALSE,1408.35718333333
20190816,"BA",1,507.508,"TMG_V_BA","B","op","primary",FALSE,1408.45846666667
20190816,"BA",1,524.883,"BPT_V_BA","R","op","primary",FALSE,1408.74805
20190816,"BA",1,535.044,"TMP_V_BA","R","op","primary",FALSE,1408.9174
20190816,"BA",1,542.639,"BTV_V_BA","R","op","primary",FALSE,1409.04398333333
20190816,"BA",1,600.079,"PVT_H_CG","R","op","primary",FALSE,1410.00131666667
20190816,"BA",1,604.359,"BOM_V_BA","R","op","primary",FALSE,1410.07265
20190816,"BA",1,609.676,"NOT_V_MA","R","op","primary",FALSE,1410.16126666667
20190816,"BA",1,643.005,"TOP_V_BA","R","op","primary",FALSE,1410.71675
20190816,"BA",1,649.842,"TMG_V_BA","B","op","primary",FALSE,1410.8307
20190816,"BA",1,660.381,"ONP_V_BA","R","op","primary",FALSE,1411.00635
20190816,"BA",1,663.23,"BPG_V_BA","R","op","primary",FALSE,1411.05383333333
20190816,"BA",1,672.535,"NOT_V_MA","R","op","primary",FALSE,1411.20891666667
20190816,"BA",1,679.659,"BTV_V_BA","R","op","primary",FALSE,1411.32765
20190816,"BA",1,702.635,"BOM_V_BA","B","op","primary",FALSE,1411.71058333333
20190816,"BA",1,726.087,"TOP_V_BA","R","op","primary",FALSE,1412.10145
20190816,"BA",1,734.347,"BOM_V_BA","R","op","primary",FALSE,1412.23911666667
20190816,"BA",1,736.626,"OMN_V_BA","R","op","primary",FALSE,1412.2771
20190816,"BA",1,742.323,"ONP_V_BA","R","op","primary",FALSE,1412.37205
20190816,"BA",1,762.736,"BPT_V_BA","R","op","primary",FALSE,1412.71226666667
20190816,"BA",1,776.695,"BPG_V_BA","R","op","primary",FALSE,1412.94491666667
20190816,"BA",1,777.549,"NOT_V_MA","R","op","primary",FALSE,1412.95915
20190816,"BA",1,790.368,"BPT_V_BA","R","op","primary",FALSE,1413.1728
20190816,"BA",1,793.499,"BOM_V_BA","R","op","primary",FALSE,1413.22498333333
20190816,"BA",1,797.108,"OMN_V_BA","B","op","primary",FALSE,1413.28513333333
20190816,"BA",1,820.274,"TMP_V_BA","R","op","primary",FALSE,1413.67123333333
20190816,"BA",1,842.207,"TMG_V_BA","B","op","primary",FALSE,1414.03678333333
20190816,"BA",1,847.241,"BOM_V_BA","R","op","primary",FALSE,1414.12068333333
20190816,"BA",1,884.841,"TOP_V_BA","R","op","primary",FALSE,1414.74735
20190816,"BA",1,887.595,"BOM_V_BA","R","op","primary",FALSE,1414.79325
20190816,"BA",1,893.482,"TOP_V_BA","R","op","primary",FALSE,1414.89136666667
20190816,"BA",1,908.672,"OMN_V_BA","B","op","primary",FALSE,1415.14453333333
20190816,"BA",1,923.01,"ONP_V_BA","R","op","primary",FALSE,1415.3835
