"","id","sex","age","rank_ba","rank_cg","rank_nb","roost","tutor_red","tutor_blue"
"242","PMB_V_NB","M","J",NA,NA,NA,"3",0,0
"243","NT_H_MA",NA,NA,NA,NA,NA,"4",0,0
"244","OBP_H_MA","M","A",NA,NA,NA,"4",0,0
"245","NVT_V_MA","M",NA,NA,NA,NA,"4",0,0
"246","OMN_H_MA","M","A",NA,NA,NA,"4",0,0
"247","MGN_V_BA","F","A",NA,NA,NA,"2",0,0
"248","OMT_H_MA",NA,"J",NA,NA,NA,"4",0,0
"249","OVP_H_MA",NA,NA,NA,NA,NA,"4",0,0
"250","OVG_H_MA","F","A",NA,NA,NA,"4",0,0
"251","OT_H_MA","F","J",NA,NA,NA,"4",0,0
"252","OBO_H_MA",NA,"J",NA,NA,NA,"4",0,0
"253","NGT_V_MA","M","A",NA,NA,NA,"4",0,0
"254","MGB_V_BA","F","A",NA,NA,NA,"2",0,0
"255","NBV_V_MA",NA,NA,NA,NA,NA,"4",0,0
"256","ONG_H_MA","","",NA,NA,NA,"4",0,0
"257","OGV_H_MA","M","A",NA,NA,NA,"4",0,0
"258","NBO_V_MA","M","A",NA,NA,NA,"4",0,0
"259","NVG_V_MA","M","A",NA,NA,NA,"4",0,0
"260","NPB_V_MA","M","J",NA,NA,NA,"4",0,0
"261","OGB_H_MA","M","A",NA,NA,NA,"4",0,0
"262","OGP_H_MA","M","A",NA,NA,NA,"4",0,0
"263","OPT_H_MA","","",NA,NA,NA,"4",0,0
"264","OTP_H_MA","","",NA,NA,NA,"4",0,0
"265","NON_V_MA","F",NA,NA,NA,NA,"4",0,0
"266","OV_V_MA",NA,NA,NA,NA,NA,"4",0,0
"267","NTV_V_MA",NA,NA,NA,NA,NA,"4",0,0
"268","ONP_V_MA",NA,NA,NA,NA,NA,"4",0,0
"269","OVBO_H_MA",NA,NA,NA,NA,NA,"4",0,0
"270","OVT_H_MA",NA,"J",NA,NA,NA,"4",0,0
"271","OBN_H_MA","F","A",NA,NA,NA,"4",0,0
"272","OBV_H_MA","M","A",NA,NA,NA,"4",0,0
"273","Nsmu_V_MA",NA,NA,NA,NA,NA,"4",0,0
"274","GMP_H_BG",NA,"J",NA,NA,NA,"5",0,0
"275","GON_H_BG",NA,NA,NA,NA,NA,"5",0,0
