"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"148","20190815","1","OMN_V_BA","1-BLUE",2127.6,"2","op","Bop","B","op","BA"
"149","20190815","1","PTP_V_NB","1-RED",2164.664,"4","op","Rop","R","op","BA"
"150","20190815","1","BPG_V_BA","1-RED",2187.789,"1","op","Rop","R","op","BA"
"151","20190815","1","MTP_V_BA","1-RED",2212.393,"3","op","Rop","R","op","BA"
"152","20190815","1","ONP_V_BA","1-RED",2236.072,"3","op","Rop","R","op","BA"
"153","20190815","1","OPV_V_BA","1-RED",2238.171,"4","op","Rop","R","op","BA"
"154","20190815","1","ONP_V_BA","1-RED",2329.271,"3","op","Rop","R","op","BA"
"155","20190815","1","BPG_V_BA","1-RED",2342.329,"2","op","Rop","R","op","BA"
"156","20190815","1","PTP_V_NB","1-BLUE",2409.795,"4","op","Bop","B","op","BA"
"157","20190815","1","OPV_V_BA","1-RED",2437.098,"3","op","Rop","R","op","BA"
"158","20190815","1","OMN_V_BA","1-BLUE",2441.673,"3","op","Bop","B","op","BA"
"159","20190815","1","BVB_V_BA","1-RED",2817.126,"0","op","Rop","R","op","BA"
"160","20190815","1","BVB_V_BA","1-RED",2887.975,"1","op","Rop","R","op","BA"
"161","20190815","1","ONP_V_BA","1-RED",2977.633,"1","op","Rop","R","op","BA"
"162","20190815","1","BMN_V_BA","1-RED",2991.388,"1","op","Rop","R","op","BA"
"163","20190815","1","BVB_V_BA","1-RED",3020.912,"1","op","Rop","R","op","BA"
"164","20190815","1","BMN_V_BA","1-RED",3052.24,"1","op","Rop","R","op","BA"
"165","20190815","1","BVB_V_BA","1-RED",3090.477,"1","op","Rop","R","op","BA"
"166","20190815","1","ONP_V_BA","1-BLUE",3178.892,"0","op","Bop","B","op","BA"
"167","20190815","1","ONP_V_BA","1-RED",3202.203,"2","op","Rop","R","op","BA"
"168","20190815","1","OMN_V_BA","1-RED",3219.213,"4","op","Rop","R","op","BA"
"169","20190815","1","BVB_V_BA","1-RED",3265.955,"3","op","Rop","R","op","BA"
"170","20190815","1","OPV_V_BA","1-RED",3272.014,"5","op","Rop","R","op","BA"
"171","20190815","1","ONP_V_BA","1-BLUE",3286.837,"3","op","Bop","B","op","BA"
"172","20190815","1","ONP_V_BA","1-RED",3323.27,"3","op","Rop","R","op","BA"
"173","20190815","1","BMN_V_BA","1-RED",3338.22,"3","op","Rop","R","op","BA"
"174","20190815","1","TOP_V_BA","1-RED",3353.821,"3","op","Rop","R","op","BA"
"175","20190815","1","BVB_V_BA","1-RED",3369.782,"6","op","Rop","R","op","BA"
"176","20190815","1","TOP_V_BA","1-RED",3381.848,"4","op","Rop","R","op","BA"
