"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"202",202,20190815,1,"TMG_V_BA","1-RED",3803.652,1,"op","Rop","R","op","BA",1,0,1,88,0,0,202,85,0
"209",209,20190815,1,"TMG_V_BA","1-RED",3892.927,4,"op","Rop","R","op","BA",1,0,1,88,0,0,209,85,0
"218",218,20190816,1,"TMG_V_BA","1-BLUE",69.758,0,"op","Bop","B","op","BA",0,1,1,88,0,0,218,85,0
"219",219,20190816,1,"TMG_V_BA","1-RED",129.334,2,"op","Rop","R","op","BA",1,0,1,88,0,0,219,85,0
"221",221,20190816,1,"TMG_V_BA","1-RED",188.001,0,"op","Rop","R","op","BA",1,0,1,88,0,0,221,85,0
"222",222,20190816,1,"TMG_V_BA","1-BLUE",232.897,1,"op","Bop","B","op","BA",0,1,1,88,0,0,222,85,0
"223",223,20190816,1,"TMG_V_BA","1-RED",293.828,0,"op","Rop","R","op","BA",1,0,1,88,0,0,223,85,0
"224",224,20190816,1,"TMG_V_BA","1-RED",341.801,3,"op","Rop","R","op","BA",1,0,1,88,0,0,224,85,0
"228",228,20190816,1,"TMG_V_BA","1-RED",427.433,4,"op","Rop","R","op","BA",1,0,1,88,0,0,228,85,0
"233",233,20190816,1,"TMG_V_BA","1-BLUE",469.777,2,"op","Bop","B","op","BA",0,1,1,88,0,0,233,85,0
"235",235,20190816,1,"TMG_V_BA","1-BLUE",506.681,3,"op","Bop","B","op","BA",0,1,1,88,0,0,235,85,0
"242",242,20190816,1,"TMG_V_BA","1-BLUE",650.001,5,"op","Bop","B","op","BA",0,1,1,88,0,0,242,85,0
"259",259,20190816,1,"TMG_V_BA","1-BLUE",841.863,7,"op","Bop","B","op","BA",0,1,1,88,0,0,259,85,0
"1158",1158,20190821,2,"TMG_V_BA","1-RED",376.902,6,"op","Rop","R","op","BA",1,0,1,88,0,0,1158,85,0
"1180",1180,20190821,2,"TMG_V_BA","1-RED",457.161,7,"op","Rop","R","op","BA",1,0,1,88,0,0,1180,85,0
"1196",1196,20190821,2,"TMG_V_BA","1-RED",522.206,8,"op","Rop","R","op","BA",1,0,1,88,0,0,1196,85,0
"1222",1222,20190821,2,"TMG_V_BA","1-RED",619.439,6,"op","Rop","R","op","BA",1,0,1,88,0,0,1222,85,0
"1238",1238,20190821,2,"TMG_V_BA","1-RED",680.118,8,"op","Rop","R","op","BA",1,0,1,88,0,0,1238,85,0
"1251",1251,20190821,2,"TMG_V_BA","1-RED",836.13,3,"op","Rop","R","op","BA",1,0,1,88,0,0,1251,85,0
"1264",1264,20190821,2,"TMG_V_BA","1-RED",900.957,4,"op","Rop","R","op","BA",1,0,1,88,0,0,1264,85,0
"1283",1283,20190821,2,"TMG_V_BA","1-BLUE",1001.932,4,"op","Bop","B","op","BA",0,1,1,88,0,0,1283,85,0
